year,student_name,eng,urdu,isl,math,phy,comp,che
2009,FFFFF,97/100,77/100,61/100,52/100,57/100,36/100,15/100
2014,AAAAA,83/100,88/100,79/100,57/100,96/100,78/100,81/100
2006,MMMMM,71/100,78/100,74/100,19/100,76/100,9/100,81/100
2019,MMMMM,92/100,98/100,96/100,74/100,2/100,46/100,50/100
2013,SSSSS,50/100,13/100,86/100,89/100,4/100,5/100,99/100
2006,TTTTT,42/100,87/100,73/100,38/100,39/100,8/100,89/100
2023,DDDDD,87/100,60/100,35/100,95/100,6/100,57/100,33/100
2009,DDDDD,79/100,69/100,97/100,73/100,95/100,72/100,80/100
2019,OOOOO,87/100,87/100,62/100,66/100,71/100,60/100,76/100
2011,DDDDD,76/100,64/100,97/100,81/100,63/100,52/100,53/100
2009,MMMMM,90/100,47/100,5/100,8/100,86/100,10/100,62/100
2017,DDDDD,95/100,89/100,26/100,30/100,95/100,75/100,81/100
2016,TTTTT,65/100,64/100,51/100,70/100,50/100,89/100,78/100
2007,WWWWW,90/100,65/100,99/100,82/100,93/100,79/100,85/100
2022,VVVVV,97/100,23/100,62/100,1/100,45/100,33/100,56/100
2012,GGGGG,83/100,68/100,72/100,92/100,99/100,56/100,54/100
2020,KKKKK,100/100,51/100,95/100,50/100,93/100,66/100,86/100
2023,QQQQQ,71/100,66/100,98/100,64/100,99/100,95/100,90/100
2020,LLLLL,69/100,78/100,58/100,63/100,71/100,77/100,52/100
2008,QQQQQ,62/100,55/100,95/100,64/100,32/100,16/100,85/100
2015,GGGGG,61/100,49/100,36/100,60/100,89/100,68/100,78/100
2023,HHHHH,66/100,95/100,61/100,71/100,97/100,29/100,25/100
2018,BBBBB,50/100,94/100,2/100,88/100,82/100,45/100,37/100
2006,CCCCC,3/100,36/100,10/100,33/100,99/100,54/100,76/100
2012,LLLLL,55/100,61/100,81/100,71/100,98/100,84/100,84/100
2012,ZZZZZ,62/100,14/100,15/100,34/100,98/100,48/100,32/100
2020,AAAAA,67/100,84/100,69/100,82/100,85/100,87/100,35/100
2019,XXXXX,44/100,84/100,95/100,26/100,54/100,36/100,54/100
2009,GGGGG,50/100,80/100,87/100,97/100,63/100,95/100,89/100
2010,QQQQQ,61/100,54/100,58/100,73/100,82/100,84/100,73/100
2014,YYYYY,61/100,55/100,79/100,94/100,84/100,55/100,62/100
2014,DDDDD,74/100,67/100,70/100,59/100,74/100,72/100,70/100
2015,MMMMM,64/100,59/100,33/100,54/100,89/100,61/100,26/100
2021,CCCCC,96/100,91/100,97/100,70/100,91/100,81/100,86/100
2020,CCCCC,82/100,99/100,19/100,20/100,70/100,47/100,98/100
2014,KKKKK,53/100,10/100,30/100,66/100,83/100,84/100,1/100
2018,LLLLL,82/100,35/100,84/100,26/100,76/100,3/100,45/100
2008,IIIII,54/100,87/100,99/100,74/100,100/100,99/100,50/100
2016,GGGGG,33/100,33/100,59/100,55/100,50/100,25/100,71/100
2023,OOOOO,65/100,54/100,73/100,57/100,58/100,82/100,55/100
2017,SSSSS,16/100,18/100,36/100,28/100,91/100,86/100,49/100
2020,QQQQQ,70/100,72/100,65/100,81/100,52/100,61/100,62/100
2016,DDDDD,79/100,61/100,85/100,75/100,87/100,50/100,59/100
2023,AAAAA,52/100,87/100,11/100,100/100,1/100,36/100,7/100
2017,CCCCC,94/100,64/100,66/100,98/100,79/100,87/100,67/100
2023,EEEEE,82/100,91/100,87/100,79/100,85/100,54/100,52/100
2010,HHHHH,54/100,65/100,63/100,56/100,96/100,56/100,76/100
2020,TTTTT,90/100,76/100,51/100,58/100,59/100,98/100,85/100
2013,LLLLL,69/100,33/100,48/100,17/100,59/100,89/100,89/100
2011,TTTTT,41/100,28/100,86/100,73/100,48/100,99/100,87/100
2023,XXXXX,94/100,79/100,98/100,43/100,52/100,38/100,28/100
2007,FFFFF,99/100,83/100,62/100,81/100,34/100,44/100,97/100
2008,GGGGG,82/100,62/100,82/100,91/100,83/100,87/100,86/100
2020,RRRRR,92/100,95/100,96/100,40/100,56/100,31/100,73/100
2017,NNNNN,10/100,7/100,25/100,45/100,94/100,51/100,2/100
2006,OOOOO,19/100,38/100,34/100,69/100,35/100,11/100,24/100
2018,ZZZZZ,81/100,54/100,74/100,93/100,93/100,56/100,81/100
2008,AAAAA,69/100,80/100,70/100,64/100,93/100,53/100,67/100
2020,BBBBB,84/100,53/100,63/100,95/100,81/100,84/100,61/100
2018,UUUUU,85/100,70/100,92/100,66/100,76/100,68/100,59/100
2008,LLLLL,68/100,80/100,82/100,21/100,97/100,48/100,81/100
2017,JJJJJ,94/100,50/100,83/100,95/100,82/100,89/100,77/100
2020,MMMMM,58/100,49/100,92/100,24/100,88/100,17/100,16/100
2009,AAAAA,67/100,88/100,85/100,85/100,70/100,79/100,89/100
